Date,Asset,Type,Q_0_005,Q_0_01,Q_0_025,Q_0_05,Q_0_95,Q_0_975,Q_0_99,Q_0_995,CTE_0_005,CTE_0_01,CTE_0_025,CTE_0_05,CTE_0_95,CTE_0_975,CTE_0_99,CTE_0_995,FIGARCH_d,Stable_alpha,Stable_gamma,Variance,Skewness,Kurtosis,ACF_Lag1,Hurst
2019-12-06,KEY US Equity,Stock,-0.058140482903262215,-0.04980170709532905,-0.034733195209382055,-0.026050523856926557,0.02489491240547176,0.03296604662502944,0.04149825493819609,0.0473929035844027,-0.06858671488270716,-0.06124420268974384,-0.05000092315833629,-0.040233431389478616,0.03510068213003017,0.041714098872781956,0.049797855430800626,0.05412649721932047,0.1922941227458054,1.712,0.009719300900077403,0.00026873460119208187,-0.42796075291771435,2.412498049854735,-0.0018199449835547916,0.5723077452658278
2019-12-06,KEYS US Equity,Stock,-0.05571823614346159,-0.050183297146116454,-0.034563463165313286,-0.02556981060182175,0.025574133323074576,0.03171460958429268,0.04660524620210184,0.05974803039843003,-0.06716872570757228,-0.06036021276938123,-0.04856466856630947,-0.03891656402057797,0.0412540633766537,0.054382903198848566,0.07739119474298836,0.09914940186952381,0.20000017706878215,1.539,0.008667964529377568,0.0003073487355788099,0.7374217485319867,9.098920938600813,-0.04089284875629542,0.5866708615487745
2019-12-06,KMB US Equity,Stock,-0.037912048634635875,-0.031571462328431166,-0.02370924302719458,-0.018559705852623433,0.017149274155790876,0.020681017898934947,0.02848557787822583,0.038401573160619554,-0.05362975058185053,-0.04498020432248543,-0.03446811029331885,-0.02766762686193671,0.024935258336739822,0.03102615997909909,0.04053139804767865,0.04641114042986968,0.20000016410903865,1.564,0.006164016369617842,0.0001343428272044852,-0.4932598052484058,5.194966573167839,-0.02780831640904707,0.5297107183308383
2019-12-06,KIM US Equity,Stock,-0.04252543316300674,-0.03728234223672702,-0.0296779484542459,-0.02539644568241321,0.021237619684070407,0.027126053736914388,0.034683345513931256,0.04116795790518527,-0.05194848711143889,-0.046428454576246926,-0.038049837910270015,-0.03268805180491001,0.030136900910831693,0.036649151884986374,0.04599924236592112,0.05264469209694976,0.22997199184534312,1.595,0.008232456587656332,0.00020509232619390284,-0.1360144721975335,1.6627028091623908,0.03384533939314658,0.6007175895650737
2019-12-06,KMI US Equity,Stock,-0.06433798048801712,-0.05273476912782483,-0.04044599704051388,-0.03052771090793108,0.025856942909118514,0.03671915455800701,0.05334680376947798,0.0690957089997075,-0.08333568391265223,-0.07031665719424514,-0.05636237731131384,-0.04570080648996439,0.04431608936266436,0.05753356513296835,0.07706512468441949,0.09018711552861369,0.5000001410533293,1.423,0.008676876171292753,0.00035353157031336476,0.17692985614777218,7.964883270542696,0.028836571281188383,0.6468053467523107
2019-12-06,KR US Equity,Stock,-0.07701953856951829,-0.04655916916182992,-0.03402890355981505,-0.026051934137390938,0.024450548150819963,0.032869170716745784,0.04342552830992088,0.05057381999598151,-0.11579240639797088,-0.08812111637936841,-0.05988762632608999,-0.045001366964793295,0.036970047309758225,0.04605755460452203,0.05955456025064009,0.07090993245269969,0.20003119222617255,1.606,0.008980211804067615,0.0003330837794093179,-1.7739015041122146,20.067614450065165,0.07455405522752921,0.5135994516436714
2019-12-06,OR FP Equity,Stock,-0.04026081435469383,-0.03420532630738862,-0.026413265981014823,-0.01956214601522208,0.019896466508801017,0.025301834006706932,0.03153950129959888,0.04068592600202959,-0.04645154706524812,-0.04215439542386097,-0.034666515273177906,-0.028371976182982938,0.028910357799833038,0.03529846668289321,0.04489480280899441,0.052341538803229656,0.20000008269355687,1.529,0.00655769606142603,0.00015356871956070367,0.0981693394556403,3.206241287582147,-0.06834663854487848,0.4484162425349579
2019-12-06,LHX US Equity,Stock,-0.04342533213544385,-0.03730513313189094,-0.027076986982609012,-0.02037919203190005,0.019257974094212562,0.026728971832176606,0.03655986859414325,0.04541113539518897,-0.06437106854338072,-0.053447951169764,-0.04052382266624629,-0.03215420546749616,0.03182148995818616,0.04131776195147447,0.05696304185543892,0.07261032475632104,0.2371937921168504,1.486,0.006422510779399331,0.00018953102624029593,0.1005981209496161,11.3122857364184,-0.0034875401476698246,0.524671537005216
2019-12-06,LAND LN Equity,Stock,-0.04644203528836219,-0.03488283405269564,-0.02426875813674476,-0.020586982800138567,0.018625592363523538,0.026028897114296227,0.03217799703788734,0.04220734837827591,-0.07720287623538453,-0.05965166981872421,-0.040981179551234904,-0.031551908263348985,0.0289440920421419,0.036660176064291075,0.047373720370150356,0.05763326805252169,0.4999999444915958,1.711,0.007489874275873028,0.00019561439439830196,-1.4994704960138499,21.049856173469312,0.060002491522071,0.46911826726471634
2019-12-06,LGEN LN Equity,Stock,-0.056610563730414974,-0.04496455116386944,-0.030499258590109816,-0.02181310292337897,0.022329161180419124,0.028980984003987673,0.03705900676665422,0.04727080647276447,-0.09748099164220668,-0.07539295922197913,-0.05274772296102729,-0.03929058239672547,0.03305680255657935,0.04061547636643345,0.051256913598762804,0.06125874991588138,0.5000001688999062,1.464,0.0072754177724445685,0.0002578819627858226,-2.7645429937901262,37.2601520590855,0.08951010690310766,0.526895268962439
2019-12-06,LKQ US Equity,Stock,-0.048968630832584896,-0.03908598494225375,-0.029200164289202545,-0.022841735163950858,0.021880748277171614,0.02853673422207218,0.03669450058872035,0.04485139511642949,-0.08152595985854323,-0.06396415406142239,-0.04608816037394676,-0.03584449877607846,0.03332312566998381,0.04159491454527114,0.0547693471012527,0.06770091500001703,0.20046003837299753,1.571,0.007761788118703571,0.00024587257418758404,-1.7798523380567313,30.364541070499627,0.018941809884228902,0.5720737874406114
2019-12-06,LLOY LN Equity,Stock,-0.048536720953950924,-0.04027120083850636,-0.02877374509495675,-0.021240905946703983,0.023206951002089544,0.03277425903963103,0.043876036543307864,0.05654893655839795,-0.0903519386000079,-0.06842020380187981,-0.047556310127070685,-0.03594439489476749,0.038220690771027944,0.04957189232233786,0.06656366752431725,0.08165545122286146,0.5000000604747211,1.549,0.007567822251984598,0.0002829261772615835,-1.572003303697809,37.217561585671426,0.06992943093204418,0.5190373385502847
2019-12-06,LSEG LN Equity,Stock,-0.04833509566759366,-0.038771276725003224,-0.028554155290659355,-0.02036055052179868,0.022739165616674762,0.030102581481161992,0.04755266335572734,0.06166601592895572,-0.0641807908002184,-0.05360517302624336,-0.041780645128086866,-0.03304669822668358,0.03848867361912753,0.050742773293903955,0.07127337888798896,0.08574645987854114,0.20000011426070236,1.579,0.007548004791805281,0.0002392938863968583,0.9958923684995954,12.673448485791683,-0.03170275853405807,0.49249245286418036
2019-12-06,MC FP Equity,Stock,-0.04662027242029085,-0.04018795272055651,-0.03172495801666564,-0.025482811899609607,0.026451038543227792,0.033724326345258356,0.04445993063800703,0.048107482254955404,-0.05809393195734307,-0.05153902561909162,-0.04248794844099824,-0.035403973927595055,0.037158185632283555,0.044162795811884106,0.05197237894044881,0.056647342189806396,0.2000001338963833,1.464,0.0084339853607123,0.0002448356221717694,-0.013622162231723186,2.1664808692565733,-0.024021700888057152,0.5449489311902471
2019-12-06,LH US Equity,Stock,-0.048986297616809345,-0.03573828225999302,-0.026476181940038177,-0.01946449509508903,0.01898719265579711,0.02444695929734154,0.03298681208482014,0.037087929064971124,-0.07167051390648359,-0.05714709877662719,-0.04121600059221063,-0.03163636472236787,0.026829850664221014,0.03214201840331769,0.038565405857014026,0.041851446288775226,0.2000001746296141,1.547,0.006602503353697287,0.0001641117507801237,-1.1404918111237614,8.38417507950454,0.006499073679605417,0.5730382502603918
2019-12-06,LRCX US Equity,Stock,-0.06025390282368145,-0.05553270042694926,-0.04457578430468998,-0.032170896012684476,0.030820277071590154,0.04046504360567995,0.04962743872741684,0.06500703055777185,-0.07379743253403905,-0.06622210208245526,-0.057177474812164966,-0.04700410528816544,0.04603425071578008,0.05725090527527398,0.07491663485319765,0.09047413833907643,0.1738852336753027,1.513,0.010482377027104386,0.0004134509230551119,0.19054479875382827,4.6426078134266096,0.0047343318223705575,0.5755298128711624
2019-12-06,LVS US Equity,Stock,-0.064331007304672,-0.0521392733085558,-0.03953406011353729,-0.030651582106484814,0.027995691485632905,0.03977723121867044,0.0495568539592371,0.06023808292973696,-0.086589750646511,-0.0731992688520685,-0.057481530832728625,-0.046322255495387085,0.044575876746297975,0.055493172419476905,0.06943789103173503,0.08200517208827465,0.20000019694961702,1.508,0.00970972333728338,0.0003687642927771331,-0.2297750984829002,5.72971451743523,0.005308107459637541,0.5505608825831522
2019-12-06,LEG US Equity,Stock,-0.048553692523052486,-0.03967970761681478,-0.0282548662954349,-0.020917997164448882,0.01876510958783756,0.025910614676436364,0.036167909704399995,0.044263024452785196,-0.06210227994918068,-0.053611473633880524,-0.041857471992260156,-0.033070143595505544,0.031416951796042744,0.04104312709130576,0.055026092276335044,0.06792654864319224,0.20000013212960227,1.716,0.007576526730813138,0.0001978233637823241,0.11062280393690371,8.835547928041727,0.006535029747762123,0.5264807008763871
2019-12-06,LDOS US Equity,Stock,-0.058919203259937235,-0.04350992053874836,-0.027365579071809563,-0.02245845945656532,0.022003415363272258,0.02703037572603673,0.03744562363637383,0.0631949294869103,-0.1076830605992098,-0.08055753318248685,-0.05292876744424397,-0.03880872359729742,0.03414311936933065,0.04376813677502339,0.0611321214419932,0.07709717319458408,0.20000033587631438,1.663,0.008233188372632356,0.00030299332346971086,-4.014750227941906,69.84955472090495,-0.03177140556946846,0.522447468232547
2019-12-06,LEN US Equity,Stock,-0.04957690551556543,-0.04228525398815612,-0.03645577625493332,-0.026985665673660213,0.02594659356611542,0.0332466862087781,0.040302124078063585,0.04729214201393974,-0.05795709479442583,-0.052249873919453155,-0.04452255301921305,-0.038250204381738616,0.03630736313163663,0.04350158616462008,0.053235022053132096,0.061466734241788896,0.1921203764413632,1.65,0.009733706431028558,0.00027350439354823067,0.0026738283836948594,2.070495317844453,-0.014923806050190627,0.5730848039683059
2019-12-06,LLY US Equity,Stock,-0.04824768857407365,-0.03879101243594218,-0.029958963273369665,-0.022098728454958853,0.021537236282766305,0.027002235707565346,0.03932683449553365,0.04189955971570304,-0.06573031160338819,-0.0556442514663551,-0.042841822990271054,-0.03401993192531229,0.031159602145455437,0.038051996779043654,0.047188050762162134,0.052958499229086894,0.3216355708282426,1.469,0.006864051270118017,0.00019446014256747167,-0.632610217096734,6.134578409563657,-0.040373156186594775,0.5436501530099008
2019-12-06,LNC US Equity,Stock,-0.0673954886587084,-0.05314521567608567,-0.04103906179697861,-0.03079160688107525,0.025924442828564695,0.035547333040870495,0.04460577642468675,0.05488907521361134,-0.09246307859990385,-0.07657786338500795,-0.059062749152265906,-0.04740881989270139,0.038096661434856585,0.04575781776976128,0.055461122070457974,0.062313800920260835,0.20174662359281934,1.494,0.009230734192161647,0.0003342444021475847,-0.9109520807192621,6.064358420741367,0.0013752167808368577,0.6380665438592047
